date,geoid,state,cases,cases_avg,cases_avg_per_100k,deaths,deaths_avg,deaths_avg_per_100k
2020-03-10,USA-26,Michigan,2,0.29,0,0,0,0
2020-03-11,USA-26,Michigan,0,0.29,0,0,0,0
2020-03-12,USA-26,Michigan,10,1.71,0.02,0,0,0
2020-03-13,USA-26,Michigan,13,3.57,0.04,0,0,0
2020-03-14,USA-26,Michigan,8,4.71,0.05,0,0,0
2020-03-15,USA-26,Michigan,20,7.57,0.08,0,0,0
2020-03-16,USA-26,Michigan,1,7.71,0.08,0,0,0
2020-03-17,USA-26,Michigan,11,9,0.09,0,0,0
2020-03-18,USA-26,Michigan,15,11.14,0.11,1,0.14,0
2020-03-19,USA-26,Michigan,254,46,0.46,2,0.43,0
2020-03-20,USA-26,Michigan,214,74.71,0.75,1,0.57,0.01
2020-03-21,USA-26,Michigan,239,107.71,1.08,2,0.86,0.01
2020-03-22,USA-26,Michigan,246,140,1.4,3,1.29,0.01
2020-03-23,USA-26,Michigan,291,181.43,1.82,7,2.29,0.02
2020-03-24,USA-26,Michigan,467,246.57,2.47,8,3.43,0.03
2020-03-25,USA-26,Michigan,502,316.14,3.17,19,6,0.06
2020-03-26,USA-26,Michigan,584,363.29,3.64,20,8.57,0.09
2020-03-27,USA-26,Michigan,778,443.86,4.44,30,12.71,0.13
2020-03-28,USA-26,Michigan,979,549.57,5.5,19,15.14,0.15
2020-03-29,USA-26,Michigan,852,636.14,6.37,20,17.57,0.18
2020-03-30,USA-26,Michigan,1022,740.57,7.42,65,25.86,0.26
2020-03-31,USA-26,Michigan,1121,834,8.35,67,34.29,0.34
2020-04-01,USA-26,Michigan,1663,999.86,10.01,72,41.86,0.42
2020-04-02,USA-26,Michigan,1499,1130.57,11.32,81,50.57,0.51
2020-04-03,USA-26,Michigan,1878,1287.71,12.89,61,55,0.55
2020-04-04,USA-26,Michigan,1556,1370.14,13.72,63,61.29,0.61
2020-04-05,USA-26,Michigan,1408,1449.57,14.51,76,69.29,0.69
2020-04-06,USA-26,Michigan,1496,1517.29,15.19,110,75.71,0.76
2020-04-07,USA-26,Michigan,1722,1603.14,16.05,118,83,0.83
