date,county,state,fips,cases,deaths,newCases,newDeaths
2020-03-10,Oakland,Michigan,26125,1,0,1,0
2020-03-10,Wayne,Michigan,26163,1,0,1,0
2020-03-11,Oakland,Michigan,26125,1,0,0,0
2020-03-11,Wayne,Michigan,26163,1,0,0,0
2020-03-12,Ingham,Michigan,26065,1,0,1,0
2020-03-12,Kent,Michigan,26081,3,0,3,0
2020-03-12,Montcalm,Michigan,26117,1,0,1,0
2020-03-12,Oakland,Michigan,26125,3,0,2,0
2020-03-12,St. Clair,Michigan,26147,1,0,1,0
2020-03-12,Washtenaw,Michigan,26161,2,0,2,0
2020-03-12,Wayne,Michigan,26163,1,0,0,0
2020-03-13,Bay,Michigan,26017,1,0,1,0
2020-03-13,Charlevoix,Michigan,26029,1,0,1,0
2020-03-13,Ingham,Michigan,26065,1,0,0,0
2020-03-13,Kent,Michigan,26081,3,0,0,0
2020-03-13,Leelanau,Michigan,26089,1,0,1,0
2020-03-13,Macomb,Michigan,26099,1,0,1,0
2020-03-13,Montcalm,Michigan,26117,1,0,0,0
2020-03-13,Oakland,Michigan,26125,6,0,3,0
2020-03-13,St. Clair,Michigan,26147,1,0,0,0
2020-03-13,Washtenaw,Michigan,26161,3,0,1,0
2020-03-13,Wayne,Michigan,26163,6,0,5,0
2020-03-14,Bay,Michigan,26017,1,0,0,0
2020-03-14,Charlevoix,Michigan,26029,1,0,0,0
2020-03-14,Ingham,Michigan,26065,1,0,0,0
2020-03-14,Kent,Michigan,26081,3,0,0,0
2020-03-14,Leelanau,Michigan,26089,1,0,0,0
2020-03-14,Macomb,Michigan,26099,2,0,1,0
2020-03-14,Monroe,Michigan,26115,1,0,1,0
2020-03-14,Montcalm,Michigan,26117,1,0,0,0
2020-03-14,Oakland,Michigan,26125,9,0,3,0
2020-03-14,St. Clair,Michigan,26147,1,0,0,0
2020-03-14,Washtenaw,Michigan,26161,4,0,1,0
2020-03-14,Wayne,Michigan,26163,8,0,2,0
2020-03-15,Bay,Michigan,26017,1,0,0,0
2020-03-15,Charlevoix,Michigan,26029,1,0,0,0
2020-03-15,Ingham,Michigan,26065,1,0,0,0
2020-03-15,Kent,Michigan,26081,5,0,2,0
2020-03-15,Leelanau,Michigan,26089,1,0,0,0
2020-03-15,Macomb,Michigan,26099,5,0,3,0
2020-03-15,Monroe,Michigan,26115,1,0,0,0
2020-03-15,Montcalm,Michigan,26117,1,0,0,0
2020-03-15,Oakland,Michigan,26125,14,0,5,0
2020-03-15,Ottawa,Michigan,26139,1,0,1,0
2020-03-15,St. Clair,Michigan,26147,2,0,1,0
2020-03-15,Washtenaw,Michigan,26161,7,0,3,0
2020-03-15,Wayne,Michigan,26163,13,0,5,0
2020-03-16,Bay,Michigan,26017,1,0,0,0
2020-03-16,Charlevoix,Michigan,26029,1,0,0,0
2020-03-16,Ingham,Michigan,26065,1,0,0,0
2020-03-16,Kent,Michigan,26081,5,0,0,0
2020-03-16,Leelanau,Michigan,26089,1,0,0,0
2020-03-16,Macomb,Michigan,26099,6,0,1,0
2020-03-16,Monroe,Michigan,26115,1,0,0,0
2020-03-16,Montcalm,Michigan,26117,1,0,0,0
2020-03-16,Oakland,Michigan,26125,14,0,0,0
2020-03-16,Ottawa,Michigan,26139,1,0,0,0
2020-03-16,St. Clair,Michigan,26147,2,0,0,0
2020-03-16,Washtenaw,Michigan,26161,7,0,0,0
2020-03-16,Wayne,Michigan,26163,13,0,0,0
2020-03-17,Bay,Michigan,26017,1,0,0,0
2020-03-17,Charlevoix,Michigan,26029,1,0,0,0
2020-03-17,Ingham,Michigan,26065,2,0,1,0
2020-03-17,Jackson,Michigan,26075,1,0,1,0
2020-03-17,Kent,Michigan,26081,5,0,0,0
2020-03-17,Leelanau,Michigan,26089,1,0,0,0
2020-03-17,Macomb,Michigan,26099,8,0,2,0
2020-03-17,Monroe,Michigan,26115,1,0,0,0
2020-03-17,Montcalm,Michigan,26117,1,0,0,0
2020-03-17,Oakland,Michigan,26125,16,0,2,0
2020-03-17,Otsego,Michigan,26137,1,0,1,0
2020-03-17,Ottawa,Michigan,26139,1,0,0,0
2020-03-17,St. Clair,Michigan,26147,2,0,0,0
2020-03-17,Washtenaw,Michigan,26161,7,0,0,0
2020-03-17,Wayne,Michigan,26163,17,0,4,0
2020-03-18,Bay,Michigan,26017,1,0,0,0
2020-03-18,Charlevoix,Michigan,26029,1,0,0,0
2020-03-18,Ingham,Michigan,26065,2,0,0,0
2020-03-18,Jackson,Michigan,26075,1,0,0,0
2020-03-18,Kent,Michigan,26081,5,0,0,0
2020-03-18,Leelanau,Michigan,26089,1,0,0,0
2020-03-18,Macomb,Michigan,26099,10,0,2,0
2020-03-18,Monroe,Michigan,26115,1,0,0,0
2020-03-18,Montcalm,Michigan,26117,1,0,0,0
2020-03-18,Oakland,Michigan,26125,23,0,7,0
2020-03-18,Otsego,Michigan,26137,1,0,0,0
2020-03-18,Ottawa,Michigan,26139,1,0,0,0
2020-03-18,St. Clair,Michigan,26147,2,0,0,0
2020-03-18,Washtenaw,Michigan,26161,7,0,0,0
2020-03-18,Wayne,Michigan,26163,23,1,6,1
2020-03-19,Bay,Michigan,26017,1,0,0,0
2020-03-19,Charlevoix,Michigan,26029,1,0,0,0
2020-03-19,Clinton,Michigan,26037,1,0,1,0
2020-03-19,Eaton,Michigan,26045,2,0,2,0
2020-03-19,Genesee,Michigan,26049,1,0,1,0
2020-03-19,Ingham,Michigan,26065,7,0,5,0
2020-03-19,Jackson,Michigan,26075,1,0,0,0
2020-03-19,Kent,Michigan,26081,12,0,7,0
2020-03-19,Leelanau,Michigan,26089,1,0,0,0
2020-03-19,Livingston,Michigan,26093,3,0,3,0
2020-03-19,Macomb,Michigan,26099,55,0,45,0
2020-03-19,Midland,Michigan,26111,1,0,1,0
2020-03-19,Monroe,Michigan,26115,3,0,2,0
2020-03-19,Montcalm,Michigan,26117,1,0,0,0
2020-03-19,Oakland,Michigan,26125,105,0,82,0
2020-03-19,Otsego,Michigan,26137,1,0,0,0
2020-03-19,Ottawa,Michigan,26139,1,0,0,0
2020-03-19,St. Clair,Michigan,26147,4,0,2,0
2020-03-19,Washtenaw,Michigan,26161,14,0,7,0
2020-03-19,Wayne,Michigan,26163,119,3,96,2
2020-03-20,Bay,Michigan,26017,1,0,0,0
2020-03-20,Charlevoix,Michigan,26029,1,0,0,0
2020-03-20,Clinton,Michigan,26037,1,0,0,0
2020-03-20,Eaton,Michigan,26045,2,0,0,0
2020-03-20,Genesee,Michigan,26049,1,0,0,0
2020-03-20,Ingham,Michigan,26065,7,0,0,0
2020-03-20,Jackson,Michigan,26075,1,0,0,0
2020-03-20,Kent,Michigan,26081,12,0,0,0
2020-03-20,Leelanau,Michigan,26089,1,0,0,0
2020-03-20,Livingston,Michigan,26093,3,0,0,0
2020-03-20,Macomb,Michigan,26099,86,0,31,0
2020-03-20,Midland,Michigan,26111,3,0,2,0
2020-03-20,Monroe,Michigan,26115,3,0,0,0
2020-03-20,Montcalm,Michigan,26117,1,0,0,0
2020-03-20,Oakland,Michigan,26125,184,1,79,1
2020-03-20,Otsego,Michigan,26137,1,0,0,0
2020-03-20,Ottawa,Michigan,26139,1,0,0,0
2020-03-20,St. Clair,Michigan,26147,7,0,3,0
2020-03-20,Washtenaw,Michigan,26161,16,0,2,0
2020-03-20,Wayne,Michigan,26163,216,3,97,0
2020-03-21,Allegan,Michigan,26005,1,0,1,0
2020-03-21,Barry,Michigan,26015,1,0,1,0
2020-03-21,Bay,Michigan,26017,1,0,0,0
2020-03-21,Berrien,Michigan,26021,2,0,2,0
2020-03-21,Calhoun,Michigan,26025,1,0,1,0
2020-03-21,Charlevoix,Michigan,26029,1,0,0,0
2020-03-21,Clare,Michigan,26035,1,0,1,0
2020-03-21,Clinton,Michigan,26037,2,0,1,0
2020-03-21,Eaton,Michigan,26045,2,0,0,0
2020-03-21,Genesee,Michigan,26049,7,0,6,0
2020-03-21,Ingham,Michigan,26065,11,0,4,0
2020-03-21,Jackson,Michigan,26075,1,0,0,0
2020-03-21,Kent,Michigan,26081,21,1,9,1
2020-03-21,Leelanau,Michigan,26089,1,0,0,0
2020-03-21,Livingston,Michigan,26093,6,0,3,0
2020-03-21,Macomb,Michigan,26099,101,0,15,0
2020-03-21,Midland,Michigan,26111,3,0,0,0
2020-03-21,Monroe,Michigan,26115,3,0,0,0
2020-03-21,Montcalm,Michigan,26117,1,0,0,0
2020-03-21,Oakland,Michigan,26125,229,1,45,0
2020-03-21,Otsego,Michigan,26137,1,0,0,0
2020-03-21,Ottawa,Michigan,26139,2,0,1,0
2020-03-21,Saginaw,Michigan,26145,1,0,1,0
2020-03-21,St. Clair,Michigan,26147,7,0,0,0
2020-03-21,Tuscola,Michigan,26157,1,0,1,0
2020-03-21,Washtenaw,Michigan,26161,29,0,13,0
2020-03-21,Wayne,Michigan,26163,349,4,133,1
2020-03-21,Wexford,Michigan,26165,1,0,1,0
2020-03-22,Allegan,Michigan,26005,1,0,0,0
2020-03-22,Barry,Michigan,26015,1,0,0,0
2020-03-22,Bay,Michigan,26017,1,0,0,0
2020-03-22,Berrien,Michigan,26021,3,0,1,0
2020-03-22,Calhoun,Michigan,26025,2,0,1,0
2020-03-22,Charlevoix,Michigan,26029,2,0,1,0
2020-03-22,Clare,Michigan,26035,1,0,0,0
2020-03-22,Clinton,Michigan,26037,2,0,0,0
2020-03-22,Eaton,Michigan,26045,2,0,0,0
2020-03-22,Emmet,Michigan,26047,1,0,1,0
2020-03-22,Genesee,Michigan,26049,14,0,7,0
2020-03-22,Gladwin,Michigan,26051,1,0,1,0
2020-03-22,Grand Traverse,Michigan,26055,1,0,1,0
2020-03-22,Ingham,Michigan,26065,11,0,0,0
2020-03-22,Jackson,Michigan,26075,1,0,0,0
2020-03-22,Kent,Michigan,26081,21,1,0,0
2020-03-22,Leelanau,Michigan,26089,1,0,0,0
2020-03-22,Livingston,Michigan,26093,8,0,2,0
2020-03-22,Macomb,Michigan,26099,140,1,39,1
2020-03-22,Midland,Michigan,26111,5,0,2,0
2020-03-22,Monroe,Michigan,26115,6,0,3,0
2020-03-22,Montcalm,Michigan,26117,1,0,0,0
2020-03-22,Oakland,Michigan,26125,277,1,48,0
2020-03-22,Otsego,Michigan,26137,1,0,0,0
2020-03-22,Ottawa,Michigan,26139,6,0,4,0
2020-03-22,Roscommon,Michigan,26143,1,0,1,0
2020-03-22,Saginaw,Michigan,26145,2,0,1,0
2020-03-22,St. Clair,Michigan,26147,7,0,0,0
